"Name","lab","MF","InChiKey","ANOVA","PCA","NMF","total.sig","total.lab.mf","total.lab.inchi"
"LTRS_000002_SECIM-RP-Neg","Lab1","C6H14N2O2","KDXKERNSBIXSRK","1","0","0",1,8,8
"LTRS_000005_SECIM-RP-Neg","Lab1","C4H8N2O3","JSJWCHRYRHKBBW","1","0","0",1,4,3
"LTRS_000006_SECIM-RP-Neg","Lab1","C4H6N2O2","OIVLITBTBDPEFK","1","1","0",2,1,1
"LTRS_000008_SECIM-RP-Neg","Lab1","C6H14N4O2","ODKSFYDXXFIFQN","1","0","0",1,8,8
"LTRS_000011_SECIM-RP-Neg","Lab1","[C4H4NO3]-","FSQQTNAZHBEJLS","1","0","0",1,1,1
"LTRS_000011_SECIM-RP-Pos","Lab1","C12H23N3O3",NA,"1","1","0",2,1,NA
"LTRS_000012_SECIM-RP-Neg","Lab1","C5H14NO6P","FRMZOWIQVCBEAC","1","0","1",2,6,6
"LTRS_000014_SECIM-RP-Neg","Lab1","C8H18NO11P",NA,"1","0","0",1,2,NA
"LTRS_000017_SECIM-RP-Neg","Lab1","C4H4O4","VZCYOOQTPOCHFL","1","0","0",1,1,1
"LTRS_000018_SECIM-RP-Neg","Lab1","C4H7NO4","CKLJMWTZIZZHCS","1","0","1",2,8,8
"LTRS_000022_SECIM-RP-Neg","Lab1","C9H17N3O4","BYXHQQCXAJARLQ","1","0","0",1,8,3
"LTRS_000024_SECIM-RP-Pos","Lab1","C9H19N3O4","YSZNURNVYFUEHC","1","1","0",2,5,5
"LTRS_000025_SECIM-RP-Neg","Lab1","C5H10N2O3","ZDXPYRJPNDTMRX","1","1","0",2,5,5
"LTRS_000026_SECIM-RP-Neg","Lab1","C4H9NO3","UKAUYVFTDYCKQA","1","0","0",1,6,6
"LTRS_000028_SECIM-RP-Pos","Lab1","C6H14N2O2","KDXKERNSBIXSRK","1","0","0",1,8,8
"LTRS_000030_SECIM-RP-Neg","Lab1","C6H15O8P","LLCSXHMJULHSJN","1","1","0",2,3,3
"LTRS_000031_SECIM-RP-Pos","Lab1","C6H8N4O3","IABKEDDTDTWWRF","1","0","0",1,2,2
"LTRS_000033_SECIM-RP-Pos","Lab1","C12H24N2O7","ZAWLGBRDVQURAK","1","0","0",1,5,5
"LTRS_000035_SECIM-RP-Neg","Lab1","C9H17NO7","ZZHZYDXMAKUKNS","1","1","0",2,3,3
"LTRS_000036_SECIM-RP-Pos","Lab1","C9H19N3O3","WKGTVHGVLRCTCF","1","1","1",3,5,5
"LTRS_000037_SECIM-RP-Neg","Lab1","C7H14N2O5","LDEBVRIURYMKQS","1","1","0",2,3,3
"LTRS_000037_SECIM-RP-Pos","Lab1","C10H21N3O4","ZOKVLMBYDSIDKG","1","1","0",2,4,4
"LTRS_000038_SECIM-RP-Neg","Lab1","C5H9NO4","JJIHLJJYMXLCOY","1","1","0",2,7,6
"LTRS_000038_SECIM-RP-Pos","Lab1","C5H11N3O","VCOFTLCIPLEZKE","1","1","0",2,4,4
"LTRS_000039_SECIM-RP-Neg","Lab1","C6H12O7","RGHNJXZEOKUKBD","1","1","0",2,4,4
"LTRS_000039_SECIM-RP-Pos","Lab1","C6H14N4O2","ODKSFYDXXFIFQN","1","1","0",2,8,8
"LTRS_000040_SECIM-RP-Neg","Lab1","C8H9N14NaP",NA,"1","1","1",3,2,NA
"LTRS_000040_SECIM-RP-Pos","Lab1","C6H14N4O2","ODKSFYDXXFIFQN","1","1","0",2,8,8
"LTRS_000041_SECIM-RP-Neg","Lab1","C5H7NO3","ODHCTXKNWHHXJC","1","0","0",1,7,7
"LTRS_000042_SECIM-RP-Neg","Lab1","C6H11NO4","OYIFNHCXNCRBQI","1","0","0",1,3,3
"LTRS_000042_SECIM-RP-Pos","Lab1","C12H19N3O7","UCRYORFHYVRBIO","1","1","0",2,3,3
"LTRS_000043_SECIM-RP-Pos","Lab1","C4H8N2O3","DCXYFEDJOCDNAF","1","1","1",3,4,3
"LTRS_000044_SECIM-RP-Pos","Lab1","C9H19N5O4","IJYZHIOOBGIINM","1","0","0",1,3,3
"LTRS_000045_SECIM-RP-Pos","Lab1","C8H17N5O3","XUUXCWCKKCZEAW","1","1","0",2,1,1
"LTRS_000046_SECIM-RP-Pos","Lab1","C4H7NO4","CKLJMWTZIZZHCS","1","1","1",3,8,8
"LTRS_000047_SECIM-RP-Pos","Lab1","C15H29N3O8",NA,"1","0","0",1,3,NA
"LTRS_000048_SECIM-RP-Pos","Lab1","C9H20N2O2","MXNRLFUSFKVQSK","1","1","1",3,2,2
"LTRS_000049_SECIM-RP-Neg","Lab1","C7H18NO6P",NA,"1","1","1",3,4,NA
"LTRS_000050_SECIM-RP-Pos","Lab1","C5H10N2O4","BCCRXDTUTZHDEU","1","0","0",1,1,1
"LTRS_000051_SECIM-RP-Neg","Lab1","C12H14N10Na2O6",NA,"1","0","0",1,2,NA
"LTRS_000052_SECIM-RP-Pos","Lab1","C5H10N2O3","ZDXPYRJPNDTMRX","1","1","0",2,5,5
"LTRS_000054_SECIM-RP-Neg","Lab1","C8H13N3O6","HZYFHQOWCFUSOV","1","0","0",1,2,2
"LTRS_000055_SECIM-RP-Neg","Lab1","C7H13NO5","GGOJRYWHKVYFQK","1","0","0",1,1,1
"LTRS_000055_SECIM-RP-Pos","Lab1","[C5H15NO4P]+","YHHSONZFOIEMCP","1","0","0",1,3,3
