"Name","lab","MF","InChiKey","ANOVA","PCA","NMF","total.sig","total.lab.mf","total.lab.inchi"
"LTRS_000056_SECIM-RP-Neg","Lab1","C10H19NO8","JUBGLICOZRKBCO","1","0","0",1,3,3
"LTRS_000057_SECIM-RP-Pos","Lab1","C4H9NO3","AYFVYJQAPQTCCC","1","1","0",2,6,4
"LTRS_000065_SECIM-RP-Neg","Lab1","C17H18N17OP",NA,"1","1","1",3,1,NA
"LTRS_000065_SECIM-RP-Pos","Lab1","C9H17NO7","ZZHZYDXMAKUKNS","1","0","0",1,3,3
"LTRS_000067_SECIM-RP-Pos","Lab1","C9H19N5O3","SITWEMZOJNKJCH","1","0","1",2,7,7
"LTRS_000068_SECIM-RP-Neg","Lab1","C6H12KN2NaO3",NA,"1","1","0",2,1,NA
"LTRS_000070_SECIM-RP-Pos","Lab1","C5H9NO4","HOKKHZGPKSLGJE","1","1","0",2,7,4
"LTRS_000071_SECIM-RP-Neg","Lab1","C12H12N14O5",NA,"1","1","0",2,1,NA
"LTRS_000071_SECIM-RP-Pos","Lab1","C5H7NO3","ODHCTXKNWHHXJC","1","1","0",2,7,7
"LTRS_000072_SECIM-RP-Neg","Lab1","C12H22O11","DLRVVLDZNNYCBX","1","0","1",2,6,5
"LTRS_000073_SECIM-RP-Pos","Lab1","C5H9NO4","HOKKHZGPKSLGJE","1","1","0",2,7,4
"LTRS_000075_SECIM-RP-Neg","Lab1","C7H12N2O5","ARSVRKCVNFIICJ","1","1","0",2,3,3
"LTRS_000076_SECIM-RP-Neg","Lab1","C8H12N2O7","KXAWLANLJYMEGB","1","1","0",2,1,1
"LTRS_000076_SECIM-RP-Pos","Lab1","C8H20NO6P","SUHOQUVVVLNYQR","1","1","1",3,8,4
"LTRS_000078_SECIM-RP-Neg","Lab1","C6H12O6","CDAISMWEOUEBRE","1","1","0",2,3,3
"LTRS_000079_SECIM-RP-Neg","Lab1","C11H21N5O5","HFKJBCPRWWGPEY","1","0","0",1,3,3
"LTRS_000080_SECIM-RP-Neg","Lab1","C11H19NO9","SQVRNKJHWKZAKO","1","1","0",2,8,8
"LTRS_000081_SECIM-RP-Neg","Lab1","C11H17NO8","NCMJSVDTRDLWJE","1","1","0",2,7,7
"LTRS_000081_SECIM-RP-Pos","Lab1","C6H13N3O3","RHGKLRLOHDJJDR","1","0","1",2,1,1
"LTRS_000082_SECIM-RP-Pos","Lab1","C11H20N2O8","PKSULYZGXFBQIQ","1","1","1",3,2,2
"LTRS_000085_SECIM-RP-Pos","Lab1","C10H19NO8","JUBGLICOZRKBCO","1","0","0",1,3,3
"LTRS_000087_SECIM-RP-Neg","Lab1","C11H11N7O8",NA,"1","0","0",1,1,NA
"LTRS_000087_SECIM-RP-Pos","Lab1","C7H14N2O5","LDEBVRIURYMKQS","1","1","0",2,3,3
"LTRS_000089_SECIM-RP-Neg","Lab1","C7H13N3O4","CCUAQNUWXLYFRA","1","0","0",1,2,2
"LTRS_000091_SECIM-RP-Neg","Lab1","C3H6O4","RBNPOMFGQQGHHO","1","1","0",2,3,3
"LTRS_000092_SECIM-RP-Neg","Lab1","C8H16N2O5","MCGXOCXFFNKASF","1","1","0",2,5,5
"LTRS_000092_SECIM-RP-Pos","Lab1","C5H4O2","HYBBIBNJHNGZAN","1","0","0",1,2,2
"LTRS_000093_SECIM-RP-Neg","Lab1","C11H23N3O3","YQAIUOWPSUOINN","1","0","1",2,6,6
"LTRS_000093_SECIM-RP-Pos","Lab1","C4H9NO2","FFDGPVCHZBVARC","1","1","1",3,6,4
"LTRS_000096_SECIM-RP-Neg","Lab1","C6H12N2O3","DEFJQIDDEAULHB","1","1","0",2,2,2
"LTRS_000097_SECIM-RP-Neg","Lab1","C8H14N2O6","XPMVVZFGFJOFSL","1","1","0",2,3,3
"LTRS_000097_SECIM-RP-Pos","Lab1","C6H6O3","WQGWDDDVZFFDIG","1","1","0",2,1,1
"LTRS_000098_SECIM-RP-Neg","Lab1","C9H14N2O7","DBMVITQDGVMXEY","1","1","0",2,4,4
"LTRS_000099_SECIM-RP-Neg","Lab1","C10H17N3O6","RPVCUZZJCXVVDW","1","0","0",1,3,3
"LTRS_000099_SECIM-RP-Pos","Lab1","C8H15N3O4","HJCMDXDYPOUFDY","1","1","1",3,3,3
"LTRS_000100_SECIM-RP-Neg","Lab1","C13H22N4O8S2","BNRXZEPOHPEEAS","1","1","0",2,6,6
"LTRS_000101_SECIM-RP-Pos","Lab1","C12H22O11","PVXPPJIGRGXGCY","1","1","0",2,6,3
"LTRS_000102_SECIM-RP-Neg","Lab1","C10H17N3O6S","RWSXRVCMGQZWBV","1","1","0",2,3,3
"LTRS_000103_SECIM-RP-Neg","Lab1","C17H27N3O17P2","LFTYTUAZOPRMMI","1","1","0",2,7,7
"LTRS_000103_SECIM-RP-Pos","Lab1","C11H21N5O5","HFKJBCPRWWGPEY","1","1","0",2,3,3
"LTRS_000104_SECIM-RP-Neg","Lab1","C8H14N2O5","JZDHUJAFXGNDSB","1","1","0",2,5,5
"LTRS_000105_SECIM-RP-Pos","Lab1","C5H13NO","NIPLIJLVGZCKMP","1","1","0",2,5,5
"LTRS_000106_SECIM-RP-Pos","Lab1","C11H19NO9","SQVRNKJHWKZAKO","1","0","0",1,8,8
"LTRS_000107_SECIM-RP-Pos","Lab1","C11H17NO8","NCMJSVDTRDLWJE","1","0","0",1,7,7
"LTRS_000108_SECIM-RP-Neg","Lab1","C9H16N2O6","JSIQVRIXMINMTA","1","1","0",2,4,4
"LTRS_000109_SECIM-RP-Neg","Lab1","C9H14N3O8P","IERHLVCPSMICTF","1","0","0",1,7,7
"LTRS_000110_SECIM-RP-Neg","Lab1","C9H17N3O4","KWBQPGIYEZKDEG","1","1","0",2,8,8
"LTRS_000111_SECIM-RP-Neg","Lab1","C4H6O5","BJEPYKJPYRNKOW","1","1","0",2,6,6
"LTRS_000112_SECIM-RP-Neg","Lab1","C4H6O5","BJEPYKJPYRNKOW","1","1","0",2,6,6
"LTRS_000113_SECIM-RP-Neg","Lab1","C10H15N5O10P2","WHTCPDAXWFLDIH","1","0","0",1,3,3
"LTRS_000114_SECIM-RP-Neg","Lab1","C5H9NO5","HBDWQSHEVMSFGY","1","0","0",1,1,1
"LTRS_000116_SECIM-RP-Neg","Lab1","C6H12O5","PNNNRSAQSRJVSB","1","0","0",1,1,1
"LTRS_000117_SECIM-RP-Neg","Lab1","C5H9NO4","WHUUTDBJXJRKMK","1","1","0",2,7,5
"LTRS_000117_SECIM-RP-Pos","Lab1","C6H12N2O4","IPWKGIFRRBGCJO","1","1","0",2,5,5
"LTRS_000118_SECIM-RP-Pos","Lab1","C7H13N3O4","CCUAQNUWXLYFRA","1","0","0",1,2,2
"LTRS_000119_SECIM-RP-Neg","Lab1","C11H23N5O3","DAQIJMOLTMGJLO","1","0","0",1,8,8
"LTRS_000120_SECIM-RP-Neg","Lab1","C13H26N6O5",NA,"1","0","0",1,2,NA
"LTRS_000121_SECIM-RP-Neg","Lab1","C11H18N4O3","VLDVBZICYBVQHB","1","1","0",2,4,4
"LTRS_000121_SECIM-RP-Pos","Lab1","C5H9NO2","ONIBWKKTOPOVIA","1","0","0",1,8,8
"LTRS_000122_SECIM-RP-Neg","Lab1","C11H21N3O3","AIXUQKMMBQJZCU","1","0","0",1,6,6
"LTRS_000122_SECIM-RP-Pos","Lab1","C5H9NO2","ONIBWKKTOPOVIA","1","0","0",1,8,8
"LTRS_000123_SECIM-RP-Neg","Lab1","C10H16N2O7","OWQDWQKWSLFFFR","1","1","0",2,4,4
"LTRS_000123_SECIM-RP-Pos","Lab1","C11H23N3O3","YQAIUOWPSUOINN","1","1","0",2,6,6
"LTRS_000125_SECIM-RP-Pos","Lab1","C8H16N2O5","MCGXOCXFFNKASF","1","1","0",2,5,5
"LTRS_000126_SECIM-RP-Neg","Lab1","C9H16N2O4","GVUVRRPYYDHHGK","1","1","0",2,6,6
"LTRS_000126_SECIM-RP-Pos","Lab1","C11H23N3O3","YQAIUOWPSUOINN","1","1","0",2,6,6
"LTRS_000127_SECIM-RP-Neg","Lab1","C5H6N8NaP2",NA,"1","0","0",1,1,NA
"LTRS_000128_SECIM-RP-Neg","Lab1","C7H14N2O3","JRLGPAXAGHMNOL","1","0","0",1,6,6
"LTRS_000129_SECIM-RP-Neg","Lab1","C8H16N2O4","STTYIMSDIYISRG","1","1","0",2,7,1
"LTRS_000135_SECIM-RP-Neg","Lab1","C9H13N2O9P","DJJCXFVJDGTHFX","1","1","0",2,7,7
"LTRS_000138_SECIM-RP-Pos","Lab1","C8H14N2O6","XPMVVZFGFJOFSL","1","0","0",1,3,3
"LTRS_000142_SECIM-RP-Neg","Lab1","C6H11NO4","OYIFNHCXNCRBQI","1","0","0",1,3,3
"LTRS_000143_SECIM-RP-Neg","Lab1","C8H14N2O5","JZDHUJAFXGNDSB","1","1","0",2,5,5
"LTRS_000144_SECIM-RP-Neg","Lab1","C5H7NO3","ODHCTXKNWHHXJC","1","1","0",2,7,7
"LTRS_000145_SECIM-RP-Neg","Lab1","C6H11NO5","BWCRWWBHRAOURT","1","0","0",1,2,2
"LTRS_000146_SECIM-RP-Neg","Lab1","C8H15NO4","GZDWTPRPLBRISA","1","0","0",1,4,4
"LTRS_000147_SECIM-RP-Neg","Lab1","C5H11NO2","KWIUHFFTVRNATP","1","0","0",1,8,8
"LTRS_000148_SECIM-RP-Neg","Lab1","C11H21NO7","OANCGDPJMNPBDV","1","0","0",1,6,6
"LTRS_000149_SECIM-RP-Neg","Lab1","C15H28N4O6","LCNASHSOFMRYFO","1","0","1",2,3,3
"LTRS_000150_SECIM-RP-Neg","Lab1","C8H16N2O3","DTERQYGMUDWYAZ","1","0","1",2,8,8
"LTRS_000151_SECIM-RP-Neg","Lab1","C9H16N2O5","OBTCMSPFOITUIJ","1","1","0",2,6,4
"LTRS_000152_SECIM-RP-Neg","Lab1","C9H18N2O4","XGDCYUQSFDQISZ","1","1","0",2,8,8
"LTRS_000153_SECIM-RP-Neg","Lab1","C7H12N2O4","KSMRODHGGIIXDV","1","1","0",2,1,1
"LTRS_000153_SECIM-RP-Pos","Lab1","C13H22N4O8S2","BNRXZEPOHPEEAS","1","1","0",2,6,6
"LTRS_000154_SECIM-RP-Neg","Lab1","C12H25N3O3","UWBDLNOCIDGPQE","1","0","0",1,8,8
"LTRS_000155_SECIM-RP-Pos","Lab1","C13H22N4O8S2","BNRXZEPOHPEEAS","1","1","0",2,6,6
"LTRS_000156_SECIM-RP-Neg","Lab1","C10H19N3O4","MQLZLIYPFDIDMZ","1","1","0",2,8,8
"LTRS_000157_SECIM-RP-Neg","Lab1","C12H20N4O3","IDXZDKMBEXLFMB","1","0","1",2,5,5
"LTRS_000159_SECIM-RP-Neg","Lab1","C6H5NO2","PVNIIMVLHYAWGP","1","0","0",1,6,6
"LTRS_000163_SECIM-RP-Neg","Lab1","C8H14N2O4","KYHSUPXEBSYFGK","1","1","0",2,8,8
"LTRS_000163_SECIM-RP-Pos","Lab1","C14H26N4O11P2","RZZPDXZPRHQOCG","1","1","0",2,5,5
"LTRS_000165_SECIM-RP-Neg","Lab1","C10H17N3O6","RPVCUZZJCXVVDW","1","0","0",1,3,3
"LTRS_000166_SECIM-RP-Neg","Lab1","C4H4N2O2","ISAKRJDGNUQOIC","1","1","0",2,3,3
"LTRS_000167_SECIM-RP-Neg","Lab1","C5H11NO2S","FFEARJCKVFRZRR","1","1","0",2,6,6
"LTRS_000168_SECIM-RP-Neg","Lab1","C8H12N2O5","IXTGTEFAVXEHRV","1","1","0",2,1,1
"LTRS_000169_SECIM-RP-Neg","Lab1","C5H5N7NaO",NA,"1","1","0",2,1,NA
"LTRS_000170_SECIM-RP-Neg","Lab1","C5H10O4","CJXCLBPFKGZXJP","1","0","0",1,2,2
"LTRS_000171_SECIM-RP-Neg","Lab1","C9H14N3O8P","IERHLVCPSMICTF","1","1","0",2,7,7
"LTRS_000171_SECIM-RP-Pos","Lab1","C8H12N2O4","QBIMPGNQKASPJE","1","1","0",2,6,6
"LTRS_000172_SECIM-RP-Neg","Lab1","C9H12N2O6","DRTQHJPVMGBUCF","1","1","0",2,7,7
"LTRS_000174_SECIM-RP-Pos","Lab1","C11H21N3O3","AIXUQKMMBQJZCU","1","1","0",2,6,6
"LTRS_000175_SECIM-RP-Neg","Lab1","C10H14N5O7P","UDMBCSSLTHHNCD","1","0","0",1,8,8
"LTRS_000175_SECIM-RP-Pos","Lab1","C8H18N4O2","YDGMGEXADBMOMJ","1","1","0",2,2,2
"LTRS_000177_SECIM-RP-Neg","Lab1","C10H12N9Na2O5P",NA,"1","0","0",1,1,NA
"LTRS_000178_SECIM-RP-Neg","Lab1","C5H8O5","XFTRTWQBIOMVPK","1","1","0",2,3,3
"LTRS_000178_SECIM-RP-Pos","Lab1","C6H9NO4S","MHRLWUPLSHYLOK","1","0","0",1,1,1
"LTRS_000179_SECIM-RP-Neg","Lab1","C5H8O5","XFTRTWQBIOMVPK","1","1","0",2,3,3
"LTRS_000180_SECIM-RP-Neg","Lab1","C9H14N2O7","DBMVITQDGVMXEY","1","1","0",2,4,4
"LTRS_000184_SECIM-RP-Neg","Lab1","C7H10N2O4","MGEFGYONNZYSPY","1","0","0",1,4,4
"LTRS_000184_SECIM-RP-Pos","Lab1","C9H14N3O8P","IERHLVCPSMICTF","1","0","1",2,7,7
"LTRS_000185_SECIM-RP-Neg","Lab1","C8H16N2O3","HSRXSKHRSXRCFC","1","0","0",1,8,4
"LTRS_000186_SECIM-RP-Neg","Lab1","C11H17NO8","NCMJSVDTRDLWJE","1","1","0",2,7,7
"LTRS_000188_SECIM-RP-Pos","Lab1","C9H17N3O4","KWBQPGIYEZKDEG","1","0","1",2,8,8
"LTRS_000191_SECIM-RP-Neg","Lab1","C6H11NO4","OYIFNHCXNCRBQI","1","1","0",2,3,3
"LTRS_000192_SECIM-RP-Pos","Lab1","C5H12N4O","YHVFECVVGNXFKO","1","0","0",1,1,1
"LTRS_000193_SECIM-RP-Pos","Lab1","C10H15N5O10P2","WHTCPDAXWFLDIH","1","1","0",2,3,3
"LTRS_000194_SECIM-RP-Neg","Lab1","C10H15N3O5","ZAYHVCMSTBRABG","1","0","0",1,3,3
"LTRS_000196_SECIM-RP-Neg","Lab1","C5H16ClNaPS",NA,"1","1","0",2,1,NA
"LTRS_000198_SECIM-RP-Neg","Lab1","C6H10O6","PHOQVHQSTUBQQK","1","0","0",1,1,1
"LTRS_000198_SECIM-RP-Pos","Lab1","C11H23N5O3","DAQIJMOLTMGJLO","1","0","0",1,8,8
"LTRS_000199_SECIM-RP-Neg","Lab1","C10H19N3O4","MQLZLIYPFDIDMZ","1","1","0",2,8,8
"LTRS_000199_SECIM-RP-Pos","Lab1","C6H14N4O2","ODKSFYDXXFIFQN","1","0","0",1,8,8
"LTRS_000200_SECIM-RP-Neg","Lab1","C10H13N6PS",NA,"1","1","1",3,1,NA
"LTRS_000201_SECIM-RP-Neg","Lab1","C5H7NO3","ODHCTXKNWHHXJC","1","1","1",3,7,7
"LTRS_000201_SECIM-RP-Pos","Lab1","C11H23N5O3","DAQIJMOLTMGJLO","1","0","0",1,8,8
"LTRS_000202_SECIM-RP-Neg","Lab1","C5H7NO3","ODHCTXKNWHHXJC","1","1","0",2,7,7
"LTRS_000203_SECIM-RP-Neg","Lab1","C11H19N3O6","JCMUOFQHZLPHQP","1","1","1",3,6,6
"LTRS_000206_SECIM-RP-Neg","Lab1","C10H18N2O5","IYJILWQAFPUBHP","1","1","0",2,8,8
"LTRS_000206_SECIM-RP-Pos","Lab1","C11H18N4O3","VLDVBZICYBVQHB","1","1","0",2,4,4
"LTRS_000207_SECIM-RP-Neg","Lab1","C7H14N2O3","STKYPAFSDFAEPH","1","1","0",2,6,1
"LTRS_000207_SECIM-RP-Pos","Lab1","C5H11NO2","KZSNJWFQEVHDMF","1","1","0",2,8,8
"LTRS_000208_SECIM-RP-Neg","Lab1","C6H8O7","ODBLHEXUDAPZAU","1","1","1",3,1,1
"LTRS_000208_SECIM-RP-Pos","Lab1","C5H11NO2","KZSNJWFQEVHDMF","1","0","0",1,8,8
"LTRS_000209_SECIM-RP-Neg","Lab1","C9H14N2O5","UKGGPJNBONZZCM","1","1","0",2,6,6
"LTRS_000209_SECIM-RP-Pos","Lab1","C9H16N2O4","GVUVRRPYYDHHGK","1","0","0",1,6,6
"LTRS_000210_SECIM-RP-Neg","Lab1","C9H13N2O9P","DJJCXFVJDGTHFX","1","1","0",2,7,7
"LTRS_000212_SECIM-RP-Neg","Lab1","C9H12N2O6","DRTQHJPVMGBUCF","1","0","0",1,7,7
"LTRS_000212_SECIM-RP-Pos","Lab1","C8H16N2O4","STTYIMSDIYISRG","1","1","0",2,7,1
"LTRS_000213_SECIM-RP-Neg","Lab1","C9H16N2O6","JSIQVRIXMINMTA","1","1","0",2,4,4
"LTRS_000213_SECIM-RP-Pos","Lab1","C10H20O7","ZLXYJEYKAQYNPV","1","1","0",2,1,1
"LTRS_000214_SECIM-RP-Neg","Lab1","C8H14N2O3","FELJDCNGZFDUNR","1","1","0",2,6,1
"LTRS_000215_SECIM-RP-Neg","Lab1","C11H19N5O4",NA,"1","1","0",2,4,NA
"LTRS_000216_SECIM-RP-Neg","Lab1","C12H25N5O3","QYLJIYOGHRGUIH","1","0","0",1,8,8
"LTRS_000216_SECIM-RP-Pos","Lab1","C8H16N2O4","STTYIMSDIYISRG","1","1","0",2,7,1
"LTRS_000220_SECIM-RP-Neg","Lab1","C8H16N2O4","STTYIMSDIYISRG","1","0","0",1,7,1
"LTRS_000221_SECIM-RP-Neg","Lab1","C9H18N2O4","GVRKWABULJAONN","1","1","0",2,8,1
"LTRS_000221_SECIM-RP-Pos","Lab1","C9H10N2O3","HSMNQINEKMPTIC","1","1","0",2,3,3
"LTRS_000223_SECIM-RP-Pos","Lab1","C8H14N2O3","WPWUFUBLGADILS","1","1","0",2,6,6
"LTRS_000224_SECIM-RP-Pos","Lab1","C11H23N3O3","YQAIUOWPSUOINN","1","0","0",1,6,6
"LTRS_000226_SECIM-RP-Pos","Lab1","C9H13N2O9P","DJJCXFVJDGTHFX","1","1","0",2,7,7
"LTRS_000228_SECIM-RP-Neg","Lab1","C6H8N8NaP2",NA,"1","0","0",1,1,NA
"LTRS_000230_SECIM-RP-Neg","Lab1","C7H11NO5","NBLKTRLPZFCMJG","1","0","0",1,3,3
"LTRS_000231_SECIM-RP-Neg","Lab1","C5H10O4","CJXCLBPFKGZXJP","1","1","0",2,2,2
"LTRS_000231_SECIM-RP-Pos","Lab1","C8H14N2O5","JZDHUJAFXGNDSB","1","1","0",2,5,5
"LTRS_000232_SECIM-RP-Neg","Lab1","C5H9NO3","KTHDTJVBEPMMGL","1","1","0",2,4,2
"LTRS_000232_SECIM-RP-Pos","Lab1","C11H21NO7","OANCGDPJMNPBDV","1","0","0",1,6,6
"LTRS_000234_SECIM-RP-Neg","Lab1","C5H8O5","XFTRTWQBIOMVPK","1","0","0",1,3,3
"LTRS_000234_SECIM-RP-Pos","Lab1","C10H21KN3NaO",NA,"1","0","0",1,1,NA
"LTRS_000235_SECIM-RP-Pos","Lab1","C15H28N4O6","LCNASHSOFMRYFO","1","0","0",1,3,3
"LTRS_000238_SECIM-RP-Neg","Lab1","C8H16N2O3","DTERQYGMUDWYAZ","1","0","0",1,8,8
"LTRS_000238_SECIM-RP-Pos","Lab1","C9H16N2O5","VWXQFHJBQHTHMK","1","1","0",2,6,5
"LTRS_000239_SECIM-RP-Pos","Lab1","C9H18N2O4","XGDCYUQSFDQISZ","1","1","0",2,8,8
"LTRS_000240_SECIM-RP-Neg","Lab1","C4H6O4","KDYFGRWQOYBRFD","1","1","0",2,6,4
"LTRS_000241_SECIM-RP-Neg","Lab1","C4H6O4","KDYFGRWQOYBRFD","1","1","0",2,6,4
"LTRS_000243_SECIM-RP-Neg","Lab1","C9H16N2O5","OBTCMSPFOITUIJ","1","1","0",2,6,4
"LTRS_000244_SECIM-RP-Pos","Lab1","C12H25N3O3","UWBDLNOCIDGPQE","1","0","0",1,8,8
"LTRS_000246_SECIM-RP-Pos","Lab1","C10H16N2O5","YBTCBQBIJKGSJP","1","1","0",2,2,2
"LTRS_000247_SECIM-RP-Neg","Lab1","C12H19N3O7","UCRYORFHYVRBIO","1","1","0",2,3,3
"LTRS_000247_SECIM-RP-Pos","Lab1","C10H19N3O4","MQLZLIYPFDIDMZ","1","1","0",2,8,8
"LTRS_000248_SECIM-RP-Neg","Lab1","C9H16N2O4","GVUVRRPYYDHHGK","1","1","0",2,6,6
"LTRS_000248_SECIM-RP-Pos","Lab1","C10H19N3O4","MQLZLIYPFDIDMZ","1","1","0",2,8,8
"LTRS_000250_SECIM-RP-Neg","Lab1","C9H13N2O9P","DJJCXFVJDGTHFX","1","1","0",2,7,7
"LTRS_000251_SECIM-RP-Neg","Lab1","C6H12O4","KJTLQQUUPVSXIM","1","0","0",1,4,4
"LTRS_000253_SECIM-RP-Pos","Lab1","C8H13NO3","VFFNZZXXTGXBOG","1","0","0",1,2,2
"LTRS_000254_SECIM-RP-Pos","Lab1","C13H21N3O9",NA,"1","0","0",1,2,NA
"LTRS_000255_SECIM-RP-Neg","Lab1","C8H14N2O3","WPWUFUBLGADILS","1","1","0",2,6,6
"LTRS_000256_SECIM-RP-Pos","Lab1","C8H14N2O4","KYHSUPXEBSYFGK","1","1","0",2,8,8
"LTRS_000257_SECIM-RP-Neg","Lab1","C10H19N3O4","MQLZLIYPFDIDMZ","1","0","1",2,8,8
"LTRS_000258_SECIM-RP-Neg","Lab1","C6H8N8NaP2",NA,"1","0","0",1,1,NA
"LTRS_000259_SECIM-RP-Neg","Lab1","C6H13NO2","AGPKZVBTJJNPAG","1","0","0",1,8,7
"LTRS_000259_SECIM-RP-Pos","Lab1","C5H11NO2S","FFEARJCKVFRZRR","1","0","0",1,6,6
"LTRS_000260_SECIM-RP-Neg","Lab1","C8H14N2O5","JZDHUJAFXGNDSB","1","1","1",3,5,5
"LTRS_000260_SECIM-RP-Pos","Lab1","C5H11NO2S","FFEARJCKVFRZRR","1","0","0",1,6,6
"LTRS_000261_SECIM-RP-Pos","Lab1","C5H11NO2S","FFEARJCKVFRZRR","1","0","0",1,6,6
"LTRS_000262_SECIM-RP-Neg","Lab1","C10H20N2O4","DGMOQCHIPOPXEK","1","1","0",2,7,7
